"movie"	"profane"	"word"	"minutes_in"	"year"
"Reservoir Dogs"	TRUE	"dick"	0.4	1992
"Reservoir Dogs"	TRUE	"dicks"	0.43	1992
"Reservoir Dogs"	TRUE	"fucked"	0.55	1992
"Reservoir Dogs"	TRUE	"fucking"	0.61	1992
"Reservoir Dogs"	TRUE	"bullshit"	0.61	1992
"Reservoir Dogs"	TRUE	"fuck"	0.66	1992
"Reservoir Dogs"	TRUE	"shit"	0.9	1992
"Reservoir Dogs"	TRUE	"fuck"	1.43	1992
"Reservoir Dogs"	TRUE	"dicks"	1.56	1992
"Reservoir Dogs"	TRUE	"fuck"	1.66	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dicks"	1.75	1992
"Reservoir Dogs"	TRUE	"motherfucker"	1.83	1992
"Reservoir Dogs"	TRUE	"dick"	1.96	1992
"Reservoir Dogs"	TRUE	"pussy"	2.15	1992
"Reservoir Dogs"	TRUE	"fucks"	2.18	1992
"Reservoir Dogs"	TRUE	"fuck"	2.3	1992
"Reservoir Dogs"	TRUE	"fucking"	2.45	1992
"Reservoir Dogs"	TRUE	"hell"	2.48	1992
"Reservoir Dogs"	TRUE	"fucking"	2.51	1992
"Reservoir Dogs"	TRUE	"fucking"	2.81	1992
"Reservoir Dogs"	TRUE	"dick"	2.86	1992
"Reservoir Dogs"	TRUE	"jap"	2.93	1992
"Reservoir Dogs"	TRUE	"fuck"	3.05	1992
"Reservoir Dogs"	TRUE	"shit"	3.2	1992
"Reservoir Dogs"	TRUE	"fucking"	3.4	1992
"Reservoir Dogs"	TRUE	"fucking"	3.55	1992
"Reservoir Dogs"	TRUE	"fucking"	3.7	1992
"Reservoir Dogs"	TRUE	"motherfucker"	3.93	1992
"Reservoir Dogs"	TRUE	"motherfucker"	3.98	1992
"Reservoir Dogs"	TRUE	"shit"	4.35	1992
"Reservoir Dogs"	TRUE	"shit"	4.76	1992
"Reservoir Dogs"	TRUE	"fucking"	4.86	1992
"Reservoir Dogs"	TRUE	"dick"	5.25	1992
"Reservoir Dogs"	TRUE	"fucking"	5.41	1992
"Reservoir Dogs"	TRUE	"fucking"	5.51	1992
"Reservoir Dogs"	TRUE	"fucking"	5.55	1992
"Reservoir Dogs"	TRUE	"fucking"	5.61	1992
"Reservoir Dogs"	TRUE	"bullshit"	6.23	1992
"Reservoir Dogs"	TRUE	"fuck"	6.46	1992
"Reservoir Dogs"	TRUE	"fucked"	6.58	1992
"Reservoir Dogs"	TRUE	"fucks"	6.66	1992
"Reservoir Dogs"	TRUE	"bullshit"	6.81	1992
"Reservoir Dogs"	TRUE	"fucking"	6.86	1992
"Reservoir Dogs"	TRUE	"fucking"	6.73	1992
"Reservoir Dogs"	TRUE	"bastard"	7.38	1992
"Reservoir Dogs"	TRUE	"goddamn"	7.41	1992
"Reservoir Dogs"	TRUE	"goddamn"	7.58	1992
"Reservoir Dogs"	TRUE	"shit"	9.63	1992
"Reservoir Dogs"	TRUE	"fucking"	9.96	1992
"Reservoir Dogs"	TRUE	"shit"	10.01	1992
"Reservoir Dogs"	TRUE	"fucking"	10.08	1992
"Reservoir Dogs"	TRUE	"shit"	10.26	1992
"Reservoir Dogs"	TRUE	"goddamn"	11.13	1992
"Reservoir Dogs"	TRUE	"fucking"	11.13	1992
"Reservoir Dogs"	TRUE	"fucking"	11.85	1992
"Reservoir Dogs"	TRUE	"fucking"	12.06	1992
"Reservoir Dogs"	TRUE	"fucking"	12.08	1992
"Reservoir Dogs"	TRUE	"fucking"	12.43	1992
"Reservoir Dogs"	TRUE	"fucking"	12.45	1992
"Reservoir Dogs"	TRUE	"fucking"	12.9	1992
"Reservoir Dogs"	TRUE	"fucking"	13.73	1992
"Reservoir Dogs"	TRUE	"fuck"	14.38	1992
"Reservoir Dogs"	TRUE	"fucking"	14.66	1992
"Reservoir Dogs"	TRUE	"fucking"	14.95	1992
"Reservoir Dogs"	TRUE	"fucking"	15.38	1992
"Reservoir Dogs"	TRUE	"fucking"	15.41	1992
"Reservoir Dogs"	TRUE	"shit"	15.45	1992
"Reservoir Dogs"	TRUE	"fuck"	15.51	1992
"Reservoir Dogs"	TRUE	"fuck"	15.65	1992
"Reservoir Dogs"	TRUE	"fucking"	15.75	1992
"Reservoir Dogs"	TRUE	"fucked"	15.86	1992
"Reservoir Dogs"	TRUE	"fucked"	15.88	1992
"Reservoir Dogs"	TRUE	"fucked"	15.93	1992
"Reservoir Dogs"	TRUE	"fuck"	16.45	1992
"Reservoir Dogs"	TRUE	"motherfuckers"	16.6	1992
"Reservoir Dogs"	TRUE	"fucking"	16.65	1992
"Reservoir Dogs"	TRUE	"fuck"	16.75	1992
"Reservoir Dogs"	TRUE	"fucking"	16.86	1992
"Reservoir Dogs"	TRUE	"fucking"	17.56	1992
"Reservoir Dogs"	TRUE	"fuck"	17.63	1992
"Reservoir Dogs"	TRUE	"fucking"	17.75	1992
"Reservoir Dogs"	TRUE	"fucking"	17.95	1992
"Reservoir Dogs"	TRUE	"fucking"	18	1992
"Reservoir Dogs"	TRUE	"shit"	20.13	1992
"Reservoir Dogs"	TRUE	"fucking"	20.16	1992
"Reservoir Dogs"	TRUE	"fuck"	20.68	1992
"Reservoir Dogs"	TRUE	"fuck"	20.73	1992
"Reservoir Dogs"	TRUE	"fuck"	20.93	1992
"Reservoir Dogs"	TRUE	"fucking"	20.96	1992
"Reservoir Dogs"	TRUE	"asshole"	20.98	1992
"Reservoir Dogs"	TRUE	"fuck"	21	1992
"Reservoir Dogs"	TRUE	"fucking"	21.01	1992
"Reservoir Dogs"	TRUE	"fuck"	21.2	1992
"Reservoir Dogs"	TRUE	"fucking"	22.18	1992
"Reservoir Dogs"	TRUE	"fuck"	22.21	1992
"Reservoir Dogs"	TRUE	"motherfucker"	22.46	1992
"Reservoir Dogs"	TRUE	"fuck"	22.6	1992
"Reservoir Dogs"	TRUE	"goddamn"	22.71	1992
"Reservoir Dogs"	TRUE	"ass"	22.8	1992
"Reservoir Dogs"	TRUE	"fuck"	23	1992
"Reservoir Dogs"	TRUE	"fucking"	23.2	1992
"Reservoir Dogs"	TRUE	"assholes"	23.35	1992
"Reservoir Dogs"	TRUE	"fucking"	24.01	1992
"Reservoir Dogs"	TRUE	"fuck"	24.05	1992
"Reservoir Dogs"	TRUE	"fucking"	24.6	1992
"Reservoir Dogs"	TRUE	"fuck"	24.66	1992
"Reservoir Dogs"	TRUE	"fucking"	24.76	1992
"Reservoir Dogs"	TRUE	"fucking"	25.13	1992
"Reservoir Dogs"	TRUE	"shit"	25.35	1992
"Reservoir Dogs"	TRUE	"fuck"	25.45	1992
"Reservoir Dogs"	TRUE	"fucking"	25.75	1992
"Reservoir Dogs"	TRUE	"bullshit"	25.76	1992
"Reservoir Dogs"	TRUE	"fucking"	26.01	1992
"Reservoir Dogs"	TRUE	"fucking"	26.06	1992
"Reservoir Dogs"	TRUE	"fucking"	26.16	1992
"Reservoir Dogs"	TRUE	"fucking"	26.26	1992
"Reservoir Dogs"	TRUE	"hell"	27.21	1992
"Reservoir Dogs"	TRUE	"shit"	28.6	1992
"Reservoir Dogs"	TRUE	"fucking"	28.6	1992
"Reservoir Dogs"	TRUE	"fucking"	28.83	1992
"Reservoir Dogs"	TRUE	"shit"	28.83	1992
"Reservoir Dogs"	TRUE	"shit"	29.16	1992
"Reservoir Dogs"	TRUE	"hell"	29.18	1992
"Reservoir Dogs"	TRUE	"fucking"	31.13	1992
"Reservoir Dogs"	TRUE	"fuck"	31.5	1992
"Reservoir Dogs"	TRUE	"fucking"	31.6	1992
"Reservoir Dogs"	TRUE	"fuck"	31.8	1992
